time,temp_avg,temp_max,temp_min
15,636.73716423651,2633.5725981599,300.19236313154
15.06,636.68294321959,2633.2513442449,300.19021462156
15.12,636.62735157034,2633.6045206973,300.18809011393
15.18,636.57027523315,2633.8651625995,300.18598930024
15.24,636.51182625757,2633.1381034588,300.18391196955
15.3,636.45210237007,2633.9790237808,300.18185790885
15.36,636.39086199838,2634.0862641464,300.17982676721
15.42,636.32813140397,2633.2649894067,300.17781830413
15.48,636.2641449395,2634.2816533296,300.17583236893
15.54,636.19871102428,2634.2364673309,300.17386864278
15.6,636.1317173232,2633.9030788319,300.17192683792
15.66,636.06334489801,2634.5146940334,300.17000678702
15.72,635.99355870432,2634.3158079498,300.16810824205
15.78,635.92226044954,2634.4721430343,300.16623093116
15.84,635.84944039413,2634.8347221837,300.16437462033
15.9,635.77517920968,2634.3256050724,300.16253911149
15.96,635.69949835818,2634.9722578052,300.16072418723
16.02,635.62219882561,2635.1817258092,300.15892955238
16.08,635.54337067335,2634.2681105414,300.15715501727
16.14,635.4631924486,2635.4044336131,300.15540042845
16.2,635.38141590838,2635.4627367021,300.15366548363
16.26,635.29799137248,2634.9398028767,300.15194994974
16.32,635.21314345614,2635.770984208,300.15025369385
16.38,635.12676202226,2635.677821147,300.14857647123
16.44,635.03871529421,2635.6468102418,300.14691802948
16.5,634.94909762807,2636.1162755316,300.14527819604
16.56,634.85793515546,2635.8281617682,300.14365677847
16.62,634.76518156573,2636.2904407634,300.14205356181
16.68,634.67071862031,2636.6078669079,300.14046831099
16.74,634.57465324722,2635.9158959803,300.13890086416
16.8,634.47707799588,2636.8717165105,300.13735105839
16.86,634.37774750014,2637.0389307327,300.13581862718
16.92,634.27668314635,2636.3386928337,300.13430338655
16.98,634.17411340206,2637.3926293068,300.13280522045
17.04,634.06984255114,2637.4108461522,300.13132388699
17.1,633.96375384367,2637.2051422953,300.12985916702
17.16,633.85602255424,2637.8563073258,300.128410932
17.22,633.74660869244,2637.7245050245,300.12697899336
17.28,633.63540931773,2638.0156329709,300.12556314434
17.34,633.52240963038,2638.4481798992,300.12416320657
17.4,633.40768469458,2637.982126281,300.12277902891
17.46,633.29125056041,2638.7711642879,300.12141044586
17.52,633.17290391426,2639.0547466726,300.12005723353
17.58,633.05272902871,2638.1932431598,300.11871924696
17.64,632.9308980418,2639.4737182887,300.11739636891
17.7,632.80715848433,2639.6105714266,300.11608837054
17.76,632.68145545165,2639.2466729674,300.11479507439
17.82,632.5540067189,2640.1266309599,300.11351637861
17.88,632.42469700009,2640.1167583252,300.1122520978
17.94,632.29338952733,2640.2539759137,300.11100204037
18,632.16017234318,2640.8104359038,300.1097660747
18.06,632.02506548824,2640.575582227,300.10854405466
18.12,631.8880169243,2641.2158745842,300.10733581712
18.18,631.74890311743,2641.6256000323,300.10614118376
18.24,631.60782423873,2640.9903300627,300.10496003124
18.3,631.46486599513,2642.1345718473,300.10379223577
18.36,631.31977826607,2642.3997403203,300.10263759575
18.42,631.17257599639,2641.8989100965,300.10149597117
18.48,631.02347967973,2643.0133022201,300.10036727345
18.54,630.87228826085,2643.1354969993,300.09925131977
18.6,630.71887917747,2643.1409500835,300.09814794388
18.66,630.56341981049,2643.8565012012,300.09705704774
18.72,630.40586353109,2643.8350891117,300.09597848861
18.78,630.2461011659,2644.3498477777,300.09491210987
18.84,630.08411102663,2644.8977788496,300.09385777615
18.9,629.91996046264,2644.5021312109,300.0928153727
18.96,629.7536580754,2645.5280362465,300.0917847741
19.02,629.5849946924,2645.934132987,300.09076581102
19.08,629.41404649899,2645.3234931308,300.08975837323
19.14,629.24097661959,2646.6790044676,300.08876237166
19.2,629.06552672579,2646.9459465742,300.08777763352
19.26,628.88763453008,2646.8477969176,300.08680402416
19.32,628.70750804476,2647.8076710957,300.085841466
19.38,628.52502464823,2647.9359292198,300.084889819
19.44,628.34004039747,2648.3546657832,300.08394893812
19.5,628.15263418894,2649.055513742,300.08301872339
19.56,627.96281720792,2648.9080403688,300.08209906418
19.62,627.77052902143,2649.8465520103,300.08118983704
19.68,627.57563825128,2650.4095684445,300.08029090706
19.74,627.37823506512,2649.8673327872,300.07940218059
19.8,627.1783949932,2651.3274712009,300.07852356386
19.86,626.97586064708,2651.755363624,300.07765490464
19.92,626.7706372011,2651.5891828467,300.07679609665
